,ranking,name,year,genre,rating,summary,director,actor_1,actor_2,actor_3,actor_4,certificate
213,214,Metroid Prime,2002,"['Action', ' Adventure', ' Mystery']",8.8,"A Space Pirate distress signal draws bounty hunter Samus Aran to Tallon IV, a world she discovers is being consumed by a terrible poison.",Mark Pacini,Jennifer Hale,Vanessa Marshall,,,T
214,215,Pokémon Gold Version,1999,"['Action', ' Adventure', ' Fantasy']",8.8,"Role playing game for the Game Boy Advance, introducing the second generation of Pokémon, where you are on a quest to master Pokémon battling.",Satoshi Tajiri,,,,,E
215,216,Halo: Combat Evolved,2001,"['Action', ' Adventure', ' Mystery']",8.8,"Super-soldier John-117, Master Chief of the United Nations Space Command, must battle a genocidal alien race known as the Covenant following his violent crash-landing on Halo, an ancient and mysterious ring-world.",Jason Jones,Jen Taylor,Pete Stacker,Tim Dadabo,Steve Downes,M
216,217,Civilization,1991,['History'],8.8,Turn-based strategy game Civilization begins in 4000 BC and allows players to expand and develop their empires through the ages from the ancient era until modern and near-future times.,,,,,,
217,218,Arcanum: Of Steamworks and Magick Obscura,2001,"['Adventure', ' Drama', ' Fantasy']",8.8,"You are the sole survivor of IFS Zephyr crash and the noble gnome has just passed away before your eyes after giving you a strange ring and asking to deliver it to ""the boy"".",Jeff Coopwood,Barry Dennen,Michael Gough,Nick Jameson,,
218,219,Freespace 2,1999,['Sci-Fi'],8.8,32 years have passed since the events of Descent: Freespace. A rebellion is threatening the stability the galactic Terran-Vasudan alliance while a mysterious portal to a Shivan-infested nebula is discovered.,Robert Loggia,Ronny Cox,Kurtwood Smith,Jason Scott,,
219,220,Pokémon Crystal Version,2000,"['Action', ' Adventure', ' Fantasy']",8.8,"A remake of the Gold and Silver versions of Pocket Monsters, with new animations, characters, and a new female trainer.",Satoshi Tajiri,Junichi Masuda,,,,E
220,221,Final Fantasy IX,2000,"['Action', ' Adventure', ' Fantasy']",8.8,"When bandits try to kidnap the princess, they discover that it's the princess who wants to be kidnapped. But they are chased by an evil queen and an even more powerful entity.",Hiroyuki Itô,,,,,T
221,222,Thief II: The Metal Age,2000,"['Adventure', ' Crime', ' Fantasy']",8.8,"After a group of extreme worshipers of new steampunk technology leaves the cult of builders known as the Hammerites to form a cult of their own called the Mechanists, master-thief Garrett is asked to investigate their true intentions.",Stephen Russell,Sam Babbitt,Neil Forman,Karen Saltus,,M
222,223,Pokémon Silver Version,1999,"['Action', ' Adventure', ' Fantasy']",8.7,"Role playing game for the Game Boy Color, introducing the second generation of Pokémon, where you are on a quest to master Pokémon battling.",Satoshi Tajiri,,,,,E
223,224,Final Fantasy Tactics,1997,"['Action', ' Adventure', ' Fantasy']",8.9,The story of a heroic squire religated to the lost pages of history.,Yasumi Matsuno,Alazlam,Omdoria Atkascha,Orinas Atkascha,Ovelia Atkascha,T
224,225,Civilization II,1996,['History'],8.8,"Turn-based strategy game Civilization II introduces an isometric view, new concepts such as firepower and hit points, and changes to some units' abilities and strengths.",Michael Ely,Jeffery L. Briggs,Brad Howard,Thomas Seibert,Spencer Humm,
225,226,Sam and Max Hit the Road,1993,"['Adventure', ' Comedy', ' Mystery']",8.8,Two screwball detectives are hired to track a couple of human oddities that went missing from a local Tourist Trap.,Sean Clark,Michael Stemmle,Bill Farmer,Nick Jameson,Marsha Clark,
226,227,Crash Bandicoot: Warped,1998,"['Action', ' Adventure', ' Comedy']",8.9,"Crash Bandicoot, Aku Aku and Coco travel through time to stop Dr. Cortex and Aku Aku's evil twin brother Uka Uka from enslaving Earth.",Andrew S. Gavin,Jason Rubin,Clancy Brown,Brendan O'Brien,Haruna Ikezawa,E
227,228,Freelancer,2003,"['Action', ' Adventure', ' Mystery']",8.8,You play a freelance pilot who makes a living as a mercenary who gets targeted in a conspiracy for alien artifacts.,Carole Ruggier,Harry A. Jarvis III,Ian Ziering,Jennifer Hale,John Rhys-Davies,
228,229,Wing Commander IV: The Price of Freedom,1995,"['Action', ' Adventure', ' Sci-Fi']",8.8,It is several years after mankind's war against the Kilrathi. Col. Christopher Blair is called back into duty by the Terran Confederation to help stop acts of terrorism that appear to be taking place against Confed by Border Worlds forces.,Chris Roberts,Mark Hamill,Malcolm McDowell,John Rhys-Davies,Jason Bernard,
229,230,Sekiro: Shadows Die Twice,2019,"['Action', ' Adventure', ' Fantasy']",8.7,"Set in a reimagining of 1500s Sengoku era Japan. An unnamed shinobi, tasked with protecting a young lord of mystical lineage, who is left for dead when a powerful samurai attacks and chops off his arm.",Hidetaka Miyazaki,Kazuhiro Hamatani,Daisuke Namikawa,Miyuki Satô,Jin Urayama,M
230,231,Forza Horizon 4,2018,"['Action', ' Adventure', ' Crime']",8.7,"Experience a shared world with dynamic seasons. Explore beautiful scenery, collect over 450 cars and become a Horizon Superstar in historic Britain. With highlight the super-car ""McLaren Senna"", in honor of .",Joanne King,Nikesh Patel,Okezie Morro,Ophelia Lovibond,,E
