,ranking,name,year,runtime,genre,rating,summary,summary_length
200,201,Memories of Murder,2003.0,132 min,"['Crime', 'Drama', 'Mystery']",8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",151
201,202,Kill Bill: Vol. 1,2003.0,111 min,"['Action', 'Crime', 'Drama']",8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",116
202,203,Finding Nemo,2003.0,100 min,"['Animation', 'Adventure', 'Comedy']",8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",131
203,204,Catch Me If You Can,2002.0,141 min,"['Biography', 'Crime', 'Drama']",8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",182
204,205,Amores perros,2000.0,154 min,"['Drama', 'Thriller']",8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",153
205,206,"Monsters, Inc.",2001.0,92 min,"['Animation', 'Adventure', 'Comedy']",8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",217
206,207,Neon Genesis Evangelion: The End of Evangelion,1997.0,87 min,"['Animation', 'Action', 'Drama']",8.1,Concurrent theatrical ending of the TV series  (1995).,54
207,208,The Sixth Sense,1999.0,107 min,"['Drama', 'Mystery', 'Thriller']",8.1,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",123
208,209,The Truman Show,1998.0,103 min,"['Comedy', 'Drama']",8.1,An insurance salesman discovers his whole life is actually a reality TV show.,77
209,210,The Big Lebowski,1998.0,117 min,"['Comedy', 'Crime', 'Sport']",8.1,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",239
210,211,In the Mood for Love,2000.0,98 min,"['Drama', 'Romance']",8.1,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",177
211,212,Trainspotting,1996.0,93 min,['Drama'],8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",141
212,213,Fargo,1996.0,98 min,"['Crime', 'Thriller']",8.1,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,174
213,214,La Haine,1995.0,98 min,"['Crime', 'Drama']",8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,92
214,215,Before Sunrise,1995.0,101 min,"['Drama', 'Romance']",8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",180
215,216,Jurassic Park,1993.0,127 min,"['Action', 'Adventure', 'Sci-Fi']",8.1,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,210
216,217,In the Name of the Father,1993.0,133 min,"['Biography', 'Crime', 'Drama']",8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,155
217,218,Dead Poets Society,1989.0,128 min,"['Comedy', 'Drama']",8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,117
218,219,The Princess Bride,1987.0,98 min,"['Adventure', 'Family', 'Fantasy']",8.1,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",197
219,220,Stand by Me,1986.0,89 min,"['Adventure', 'Drama']",8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",128
220,221,Platoon,1986.0,120 min,"['Drama', 'War']",8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",219
221,222,"Paris, Texas",1984.0,145 min,['Drama'],8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",167
222,223,Nausicaä of the Valley of the Wind,1984.0,117 min,"['Animation', 'Adventure', 'Sci-Fi']",8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,142
223,224,The Thing,1982.0,109 min,"['Horror', 'Mystery', 'Sci-Fi']",8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,109
224,225,Fanny and Alexander,1982.0,188 min,['Drama'],8.1,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",147
